Denis Pickard 56 History 54.80 65.68 69.25
Jennifer Lynn 81 Information Technology 40.79 63.87 95.63
Enoch Blackburn 46 Information Technology 51.48 61.68 87.16
Christine Hewitt 13 Music 92.01 93.37 95.40
Noemi Hudson 98 Mathematics 72.39 55.41 77.58
Savannah Porter 26 Information Technology 90.60 91.45 82.56
Amelia Stevens 74 Information Technology 83.92 62.99 81.75
William Morgan 18 Computer Science 88.94 91.56 71.71
Julius Bishop 92 Journalism 95.16 63.54 77.83
Aurelia Garcia 95 Instrumental Music 75.67 59.15 78.06
Joseph Snow 32 Spanish 55.79 94.61 60.27
Sloane Vince 79 Sociology 74.99 54.72 99.33
Marigold Reid 48 Computer Science 40.36 58.37 65.26
Anne Patel 68 Information Technology 42.91 74.64 92.83
Michael Richards 58 Sociology 63.10 60.06 89.07
Mackenzie Gavin 46 Information Technology 65.78 76.45 85.13
Carl Fleming 57 Biology 76.94 58.23 73.51
Anthony Anderson 109 Mathematics 89.97 53.15 63.51
Roger Shea 27 Communication 69.49 85.10 74.19
Sasha Mills 99 Communication 82.49 63.88 80.72
Benny Overson 12 Communication 41.96 78.37 79.05
Gabriel Ryan 62 Spanish 97.44 84.53 69.15
Natalie Lindsay 76 Computer Science 43.27 78.88 68.00
Anthony Penn 90 Communication 91.45 86.54 99.70
Shannon Palmer 40 Music 49.54 91.19 99.48
Leilani Little 114 Computer Science 66.90 64.79 84.85
Owen Rogers 21 Instrumental Music 58.59 61.79 88.16
Rosalyn Abbey 46 Mathematics 86.11 52.05 60.02
Ramon Plumb 63 Biology 88.01 91.24 67.09
Julian Matthews 84 Sociology 61.22 62.95 67.77
Anabel Lucas 53 Language Arts 47.13 59.75 82.84
Matthew Varley 95 Mathematics 77.78 61.95 78.96
Cameron Whatson 84 Communication 73.75 91.81 62.82
Javier Rodgers 87 Mathematics 45.89 85.05 77.54
Elle Vincent 19 Biology 41.60 73.72 69.31
Ryan Swift 71 Computer Science 68.57 71.93 89.78
Rick Ellwood 92 Mathematics 58.69 67.24 76.51
Logan Cavanagh 95 Computer Science 48.73 61.34 73.57
Emery Darcy 68 Communication 41.42 56.62 80.80
Deborah Squire 80 Biology 63.28 88.38 60.90
Chelsea Russell 87 Music 93.43 85.70 75.44
Hailey Ross 43 Journalism 73.66 96.11 91.99
Nate Casey 64 Information Technology 67.34 97.57 98.57
Anthony Rodgers 112 Geography 84.53 85.91 92.40
Adelaide Gordon 66 Mathematics 56.73 55.46 95.10
Tyler Rees 108 Instrumental Music 97.97 68.76 93.49
Liam Lowe 40 Journalism 69.91 69.40 95.17
George Wright 118 Biology 44.06 60.45 79.67
Naomi Williams 86 Journalism 96.57 87.54 62.57
Marina Fleming 47 Journalism 46.23 60.06 80.22
